buoy_fulll,region,buoy_id,location_approx,location_full
EB01,ATLANTIC,EB01,,
EB91 (EB52),ATLANTIC,EB91 (EB52),,
41001 - EAST HATTERAS - 150 NM East of Cape Hatteras,ATLANTIC,41001,EAST HATTERAS,EAST HATTERAS - 150 NM East of Cape Hatteras
41002 - SOUTH HATTERAS - 225 NM South of Cape Hatteras,ATLANTIC,41002,SOUTH HATTERAS,SOUTH HATTERAS - 225 NM South of Cape Hatteras
41003,ATLANTIC,41003,,
"41004 - EDISTO - 41 NM Southeast of Charleston, SC",ATLANTIC,41004,EDISTO,"EDISTO - 41 NM Southeast of Charleston, SC"
41005,ATLANTIC,41005,,
41006,ATLANTIC,41006,,
41007,ATLANTIC,41007,,
"41008 - GRAYS REEF - 40 NM Southeast of Savannah, GA",ATLANTIC,41008,GRAYS REEF,"GRAYS REEF - 40 NM Southeast of Savannah, GA"
"41009 - CANAVERAL 20 NM East of Cape Canaveral, FL",ATLANTIC,41009,"CANAVERAL 20 NM East of Cape Canaveral, FL","CANAVERAL 20 NM East of Cape Canaveral, FL"
41010 - CANAVERAL EAST - 120NM East of Cape Canaveral,ATLANTIC,41010,CANAVERAL EAST,CANAVERAL EAST - 120NM East of Cape Canaveral
41011,ATLANTIC,41011,,
"41012 - St. Augustine, FL 40NM ENE of St Augustine, FL",ATLANTIC,41012,"St. Augustine, FL 40NM ENE of St Augustine, FL","St. Augustine, FL 40NM ENE of St Augustine, FL"
41015,ATLANTIC,41015,,
41016,ATLANTIC,41016,,
41017,ATLANTIC,41017,,
41018,ATLANTIC,41018,,
41021 - Olympic Northeast,ATLANTIC,41021,Olympic Northeast,Olympic Northeast
41022 - Olympic Southwest,ATLANTIC,41022,Olympic Southwest,Olympic Southwest
41023 - Olympic Southwest,ATLANTIC,41023,Olympic Southwest,Olympic Southwest
"41025 - Diamond Shoals, NC",ATLANTIC,41025,"Diamond Shoals, NC","Diamond Shoals, NC"
44001,ATLANTIC,44001,,
44003,ATLANTIC,44003,,
"44004 - HOTEL 200NM East of Cape May,NJ",ATLANTIC,44004,"HOTEL 200NM East of Cape May,NJ","HOTEL 200NM East of Cape May,NJ"
"44005 - GULF OF MAINE - 78 NM East of Portsmouth, NH",ATLANTIC,44005,GULF OF MAINE,"GULF OF MAINE - 78 NM East of Portsmouth, NH"
44006,ATLANTIC,44006,,
"44007 - PORTLAND - 12 NM Southeast of Portland,ME",ATLANTIC,44007,PORTLAND,"PORTLAND - 12 NM Southeast of Portland,ME"
44008 - NANTUCKET 54NM Southeast of Nantucket,ATLANTIC,44008,NANTUCKET 54NM Southeast of Nantucket,NANTUCKET 54NM Southeast of Nantucket
"44009 - DELAWARE BAY 26 NM Southeast of Cape May, NJ",ATLANTIC,44009,"DELAWARE BAY 26 NM Southeast of Cape May, NJ","DELAWARE BAY 26 NM Southeast of Cape May, NJ"
44010,ATLANTIC,44010,,
"44011 - GEORGES BANK 170 NM East of Hyannis, MA",ATLANTIC,44011,"GEORGES BANK 170 NM East of Hyannis, MA","GEORGES BANK 170 NM East of Hyannis, MA"
44012,ATLANTIC,44012,,
"44013 - BOSTON 16 NM East of Boston, MA",ATLANTIC,44013,"BOSTON 16 NM East of Boston, MA","BOSTON 16 NM East of Boston, MA"
"44014 - VIRGINIA BEACH 64 NM East of Virginia Beach, VA",ATLANTIC,44014,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA","VIRGINIA BEACH 64 NM East of Virginia Beach, VA"
44015,ATLANTIC,44015,,
"44017 - MONTAUK POINT - 23 NM SSW of Montauk Point, NY",ATLANTIC,44017,MONTAUK POINT,"MONTAUK POINT - 23 NM SSW of Montauk Point, NY"
"44018 - CAPE COD - 9 NM North of Provincetown, MA",ATLANTIC,44018,CAPE COD,"CAPE COD - 9 NM North of Provincetown, MA"
44019,ATLANTIC,44019,,
44023,ATLANTIC,44023,,
"44025 - LONG ISLAND - 30 NM South of Islip, NY",ATLANTIC,44025,LONG ISLAND,"LONG ISLAND - 30 NM South of Islip, NY"
44026,ATLANTIC,44026,,
44028 - Buzzard's Bay,ATLANTIC,44028,Buzzard's Bay,Buzzard's Bay
"45001 - MID SUPERIOR- 60NM North Northeast Hancock, MI",GREAT LAKES,45001,MID SUPERIOR,"MID SUPERIOR- 60NM North Northeast Hancock, MI"
45002 - NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.,GREAT LAKES,45002,NORTH MICHIGAN,NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.
"45003 - NORTH HURON - 32NM Northeast of Alpena, MI",GREAT LAKES,45003,NORTH HURON,"NORTH HURON - 32NM Northeast of Alpena, MI"
"45004 - EAST SUPERIOR -70 NM NE Marquette, MI",GREAT LAKES,45004,EAST SUPERIOR,"EAST SUPERIOR -70 NM NE Marquette, MI"
"45005 - WEST ERIE - 16 NM NW of Lorain, OH",GREAT LAKES,45005,WEST ERIE,"WEST ERIE - 16 NM NW of Lorain, OH"
"45006 - WEST SUPERIOR - 30NM NE of Outer Island, WI",GREAT LAKES,45006,WEST SUPERIOR,"WEST SUPERIOR - 30NM NE of Outer Island, WI"
"45007 - SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI",GREAT LAKES,45007,SOUTH MICHIGAN,"SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI"
"45008 - SOUTH HURON - 43NM East of Oscoda, MI",GREAT LAKES,45008,SOUTH HURON,"SOUTH HURON - 43NM East of Oscoda, MI"
45009,GREAT LAKES,45009,,
45010,GREAT LAKES,45010,,
"45012 - EAST Lake Ontario - 20NM North Northeast of Rochester, NY",GREAT LAKES,45012,EAST Lake Ontario,"EAST Lake Ontario - 20NM North Northeast of Rochester, NY"
EB10,GULF OF MEXICO,EB10,,
EB31,GULF OF MEXICO,EB31,,
EB32,GULF OF MEXICO,EB32,,
EB36,GULF OF MEXICO,EB36,,
EB52,GULF OF MEXICO,EB52,,
EB53,GULF OF MEXICO,EB53,,
EB61,GULF OF MEXICO,EB61,,
EB62,GULF OF MEXICO,EB62,,
EB92 (EB61),GULF OF MEXICO,EB92 (EB61),,
"42001 - MID GULF - 180 nm South of Southwest Pass, LA",GULF OF MEXICO,42001,MID GULF,"MID GULF - 180 nm South of Southwest Pass, LA"
"42002 - WEST GULF - 207 NM East of Brownsville, TX",GULF OF MEXICO,42002,WEST GULF,"WEST GULF - 207 NM East of Brownsville, TX"
"42003 - East GULF - 208 NM West of Naples, FL",GULF OF MEXICO,42003,East GULF,"East GULF - 208 NM West of Naples, FL"
42004,GULF OF MEXICO,42004,,
42005,GULF OF MEXICO,42005,,
42006,GULF OF MEXICO,42006,,
"42007 - BILOXI - 22 NM SSE of Biloxi, MS",GULF OF MEXICO,42007,BILOXI,"BILOXI - 22 NM SSE of Biloxi, MS"
42008,GULF OF MEXICO,42008,,
42009,GULF OF MEXICO,42009,,
42010,GULF OF MEXICO,42010,,
42011,GULF OF MEXICO,42011,,
